City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
22,Touros,BR,2020-04-04 8:02,-5.2,-35.46,73.4,88,40,3.36,scattered clouds,0,0
23,Oranjemund,ZA,2020-04-04 8:02,-28.55,16.43,75.49,41,0,9.98,clear sky,0,0
24,Rikitea,PF,2020-04-04 8:02,-23.12,-134.97,74.26,89,100,14.9,overcast clouds,0,0
25,Shumikha,RU,2020-04-04 8:02,55.23,63.28,22.41,83,0,2.8,clear sky,0,0
26,Diego De Almagro,CL,2020-04-04 8:02,-26.39,-70.05,48.15,76,0,0.36,clear sky,0,0
27,Ilulissat,GL,2020-04-04 8:02,69.22,-51.1,24.8,45,60,4.7,broken clouds,0,0
28,Mbanza-Ngungu,CD,2020-04-04 8:02,-5.25,14.87,73.92,91,100,3.98,light rain,0.19,0
29,Busselton,AU,2020-04-04 8:02,-33.64,115.35,73,35,0,11.5,clear sky,0,0
30,Hithadhoo,MV,2020-04-04 8:02,-0.6,73.08,83.25,65,79,3.91,broken clouds,0,0
31,Barrow,AR,2020-04-04 8:02,-38.31,-60.23,60.91,59,0,19.51,clear sky,0,0
32,Butaritari,KI,2020-04-04 8:02,3.07,172.79,83.88,77,27,16.2,scattered clouds,0,0
33,Albany,US,2020-04-04 8:02,42.65,-73.75,34,86,75,1.57,broken clouds,0,0
34,Krasnoarmeysk,RU,2020-04-04 8:02,56.12,38.15,45,93,90,13.42,overcast clouds,0,0
35,Labuhan,ID,2020-04-04 8:02,-2.54,115.51,88.23,54,92,2.26,overcast clouds,0,0
36,Kahului,US,2020-04-04 8:02,20.89,-156.47,75.2,73,1,8.05,clear sky,0,0
37,Buala,SB,2020-04-04 8:02,-8.15,159.59,79.88,81,89,4.03,light rain,0.38,0
38,Nizhniy Tsasuchey,RU,2020-04-04 8:02,50.52,115.13,26.26,45,0,13.94,clear sky,0,0
39,Punta Arenas,CL,2020-04-04 8:02,-53.16,-70.91,39.2,86,75,35.57,light intensity shower rain,0,0
40,Port Alfred,ZA,2020-04-04 8:02,-33.59,26.89,69.01,73,20,1.01,few clouds,0,0
41,Chuy,UY,2020-04-04 8:02,-33.69,-53.46,57.97,90,23,7.18,few clouds,0,0
42,Puerto Del Rosario,ES,2020-04-04 8:02,28.5,-13.86,69.8,83,75,9.17,broken clouds,0,0
43,Cambuga,PH,2020-04-04 8:02,13.62,122.45,80.8,81,0,8.88,clear sky,0,0
44,Nome,US,2020-04-04 8:02,30.04,-94.42,53.6,87,1,3.36,clear sky,0,0
45,Port Keats,AU,2020-04-04 8:02,-14.25,129.55,86.07,64,25,11.92,scattered clouds,0,0
46,Faanui,PF,2020-04-04 8:02,-16.48,-151.75,79.09,84,50,11.45,moderate rain,3.31,0
47,Qaanaaq,GL,2020-04-04 8:02,77.48,-69.36,15.55,73,100,13.11,overcast clouds,0,0
48,Vaini,IN,2020-04-04 8:02,15.34,74.49,84.2,58,40,6.93,scattered clouds,0,0
49,Avera,US,2020-04-04 8:02,33.19,-82.53,46.4,93,1,5.03,clear sky,0,0
50,Ngunguru,NZ,2020-04-04 8:02,-35.62,174.5,64,76,64,4.36,broken clouds,0,0
51,Saint Anthony,US,2020-04-04 8:02,43.97,-111.68,33.8,73,90,2.35,overcast clouds,0,0
52,Alta Floresta,BR,2020-04-04 8:02,-9.87,-56.08,72.23,83,68,2.66,broken clouds,0,0
53,Cap Malheureux,MU,2020-04-04 8:02,-19.98,57.61,80.6,69,40,18.34,scattered clouds,0,0
54,Blackfoot,US,2020-04-04 8:02,43.19,-112.35,36,47,1,6.93,clear sky,0,0
55,Mehamn,NO,2020-04-04 8:02,71.03,27.85,33.8,85,75,28.86,broken clouds,0,0
